 Colin McDonald,NYI,44,17
 Roman Cervenka,CGY,38,17
 Daniel Paille,BOS,44,17
 Valtteri Filppula,DET,40,17
 Jay McClement,TOR,47,17
 Steve Sullivan,NJD,41,17
 Joe Corvo,CAR,39,17
 Sheldon Souray,ANA,43,17
 Sami Salo,TAM,45,17
 Peter Mueller,FLA,42,17
 Mathieu Perreault,WAS,38,17
 Vernon Fiddler,DAL,45,17
 Cam Atkinson,COB,34,16
 Mikhail Grabovski,TOR,47,16
 Jason Garrison,VAN,47,16
 Gabriel Landeskog,COL,34,16
 Adam Henrique,NJD,41,16
 Mikael Backlund,CGY,31,16
 Dougie Hamilton,BOS,42,16
 Eric Fehr,WAS,40,16
 Rich Peverley,BOS,45,16
 Andy Greene,NJD,47,16
 Gabriel Bourque,NAS,34,16
 Jake Muzzin,LOS,44,16
 Matt Calvert,COB,42,16
 Tom Pyatt,TAM,42,16
 Danny Briere,PHI,33,16
 Simon Gagne,PHI,37,16
 Grant Clitsome,WPG,44,16
 Ryan Carter,NJD,43,15
 Scott Gomez,SAN,39,15
 Patrick Dwyer,CAR,45,15
 Tobias Enstrom,WPG,22,15
 Mark Giordano,CGY,46,15
 Nate Thompson,TAM,44,15
 Zack Smith,OTT,46,15
 Daniel Cleary,DET,47,15
 Sean Couturier,PHI,45,15
 Carl Gunnarsson,TOR,36,15
 Sergei Kostitsyn,NAS,45,15
 Steve Bernier,NJD,46,15
 Justin Faulk,CAR,37,15
 Andrew Shaw,CHI,46,15
 Dennis Seidenberg,BOS,44,15
 Casey Cizikas,NYI,44,15
 Chris Higgins,VAN,40,15
 Kyle Wellwood,WPG,39,15
 Magnus Paajarvi,EDM,40,14
 Milan Michalek,OTT,21,14
 Dan Girardi,NYR,45,14
 Kevin Klein,NAS,46,14
 Jason Chimera,WAS,46,14
 Olli Jokinen,WPG,45,14
 Antoine Roussel,DAL,38,14
 Raphael Diaz,MON,22,14
 James Wisniewski,COB,29,14
 Jochen Hecht,BUF,46,14
 Stephen Gionta,NJD,47,14
 Lubomir Visnovsky,NYI,35,14
 Dave Bolland,CHI,35,14
 Zach Bogosian,WPG,33,14
 Trevor Lewis,LOS,47,14
 Matt Niskanen,PIT,39,14
 T.J. Brodie,CGY,46,14
 Jared Spurgeon,MIN,37,14
 Beau Bennett,PIT,26,14
 Patric Hornqvist,NAS,24,14
 Matt Beleskey,ANA,42,13
 Tommy Wingels,SAN,41,13
 Jakub Kindl,DET,40,13
 Boyd Gordon,PHO,46,13
 Trevor Daley,DAL,44,13
 Gregory Campbell,BOS,46,13
 Kyle Clifford,LOS,47,13
 Stephane Robidas,DAL,47,13
 Ryan Whitney,EDM,34,13
 Brandon Prust,MON,37,13
 Nick Spaling,NAS,46,13
 Ron Hainsey,WPG,47,13
 Erik Cole,DAL,46,13
 Rene Bourque,MON,26,13
 Chris Phillips,OTT,46,13
 Ryan Kesler,VAN,16,13
 Dustin Penner,LOS,32,13
 Ruslan Fedotenko,PHI,47,13
 Matt Frattin,TOR,25,13
 T.J. Galiardi,SAN,35,12
 Jonathan Ericsson,DET,44,12
 Jeff Petry,EDM,46,12
 Kyle Brodziak,MIN,46,12
 Chris Neil,OTT,46,12
 Barret Jackman,STL,46,12
 Andrej Sekera,BUF,36,12
 Shawn Horcoff,EDM,29,12
 Matt Irwin,SAN,37,12
 Marcus Kruger,CHI,46,12
 Ryan Johansen,COB,39,12
 Justin Abdelkader,DET,47,12
 Eric Brewer,TAM,47,12
 Jack Skille,FLA,40,12
 Tyson Barrie,COL,30,12
 Craig Smith,NAS,43,12
 Alexei Emelin,MON,38,12
 Erik Karlsson,OTT,15,12
 Cody McLeod,COL,46,12
 Tom Gilbert,MIN,41,12
 Kyle Chipchura,PHO,44,12
 Charlie Coyle,MIN,35,12
 Andrew Ference,BOS,46,12
 Nick Bonino,ANA,26,12
 Drew Shore,FLA,42,12
 Johnny Oduya,CHI,46,12
 Andrei Loktionov,NJD,28,12
 Michal Rozsival,CHI,25,12
 Jonas Brodin,MIN,43,11
 Tyler Kennedy,PIT,45,11
 Jaden Schwartz,STL,44,11
 Scott Hartnell,PHI,31,11
 Andrew MacDonald,NYI,47,11
 Rob Scuderi,LOS,47,11
 Luke Schenn,PHI,46,11
 Matt Martin,NYI,47,11
 Marc Staal,NYR,21,11
 Taylor Pyatt,NYR,47,11
 Erik Condra,OTT,46,11
 Derek Morris,PHO,39,11
 John-Michael Liles,TOR,31,11
 Lauri Korpikoski,PHO,34,11
 Milan Hejduk,COL,28,11
 Matt Halischuk,NAS,36,11
 Keith Aucoin,NYI,40,11
 Kevin Bieksa,VAN,35,11
 Eric Nystrom,DAL,47,11
 Bobby Butler,NAS,33,11
 Blake Comeau,COB,41,11
 Nathan Gerbe,BUF,41,10
 Jordan Leopold,STL,38,10
 Ryan Garbutt,DAL,35,10
 Brian Flynn,BUF,25,10
 Ben Lovejoy,ANA,34,10
 Ryan Smyth,EDM,45,10
 Michael Frolik,CHI,43,10
 Rob Klinkhammer,PHO,20,10
 Niklas Hjalmarsson,CHI,46,10
 Max Talbot,PHI,35,10
 Sven Baertschi,CGY,20,10
 Zack Kassian,VAN,38,10
 Dwight King,LOS,46,10
 Maxim Lapierre,VAN,47,10
 Dmitry Kulikov,FLA,34,10
 Guillaume Latendresse,OTT,26,10
 Emerson Etem,ANA,38,10
 Alex Burmistrov,WPG,44,10
 Marc Methot,OTT,45,10
 Cam Fowler,ANA,36,10
 Clayton Stoner,MIN,46,10
 Travis Hamonic,NYI,47,10
 Jan Hejda,COL,44,10
 Jay Harrison,CAR,47,10
 Andre Benoit,OTT,33,10
 David Jones,COL,33,9
 Derek Dorsett,NYR,24,9
 Cal Clutterbuck,MIN,40,9
 Richard Clune,NAS,46,9
 Steve Oleksy,WAS,27,9
 T.J. Brennan,FLA,28,9
 Richard Panik,TAM,25,9
 Joni Pitkanen,CAR,22,9
 Nikita Nikitin,COB,38,9
 Filip Kuba,FLA,43,9
 Jordan Schroeder,VAN,31,9
 Riley Nash,CAR,32,9
 Francis Bouillon,MON,47,9
 Mike Weaver,FLA,26,9
 Tim Gleason,CAR,41,9
 Lennart Petrell,EDM,35,9
 Craig Adams,PIT,47,9
 Alexei Ponikarovsky,NJD,41,9
 Marc-Andre Bergeron,CAR,24,9
 Chuck Kobasew,COL,35,9
 Chris Kelly,BOS,32,9
 Aaron Palushaj,COL,25,9
 Paul Postma,WPG,34,9
 Kevin Porter,BUF,30,9
 Leo Komarov,TOR,41,9
 Reilly Smith,DAL,36,9
 Jack Hillen,WAS,22,9
 Dainius Zubrus,NJD,21,9
 Wojtek Wolski,WAS,27,9
 Chris Porter,STL,28,8
 Mike Kostka,TOR,34,8
 Brenden Dillon,DAL,47,8
 Matt Hendricks,WAS,47,8
 Brendan Smith,DET,33,8
 Jay Beagle,WAS,47,8
 Mike Knuble,PHI,27,8
 Joakim Andersson,DET,37,8
 Tyler Myers,BUF,39,8
 Brandon Yip,NAS,34,8
 Michael Stone,PHO,38,8
 Mikael Granlund,MIN,27,8
 Luca Sbisa,ANA,41,8
 Cory Emmerton,DET,47,8
 Patrick Eaves,DET,33,8
 Steve Begin,CGY,36,8
 Jordin Tootoo,DET,41,8
 Mark Fraser,TOR,44,8
 B.J. Crombeen,TAM,43,8
 Derek MacKenzie,COB,42,8
 Josh Gorges,MON,47,8
 Michal Handzus,CHI,38,8
 Matthew Lombardi,ANA,28,8
 Tuomo Ruutu,CAR,16,8
 Rostislav Klesla,PHO,36,8
 Torrey Mitchell,MIN,43,8
 Brooks Orpik,PIT,46,8
 Drew Miller,DET,44,8
 Nick Schultz,EDM,46,8
 Tomas Kundratek,WAS,25,7
 Simon Despres,PIT,32,7
 Marc-Edouard Vlasic,SAN,47,7
 Colin Fraser,LOS,34,7
 Taylor Beck,NAS,16,7
 Keith Aulie,TAM,44,7
 Justin Braun,SAN,40,7
 Mike Weber,BUF,41,7
 Roman Horak,CGY,19,7
 Victor Bartley,NAS,23,7
 Davis Drewiske,MON,29,7
 Jamie McBain,CAR,39,7
 Chris Butler,CGY,43,7
 Erik Gustafsson,PHI,26,7
 Dave Steckel,ANA,33,7
 Tomas Tatar,DET,18,7
 Jonathon Blum,NAS,34,7
 Ryan Malone,TAM,23,7
 Chris Tanev,VAN,38,7
 Alex Chiasson,DAL,7,7
 Shawn Thornton,BOS,43,7
 Mats Zuccarello,NYR,14,7
 Anton Stralman,NYR,47,7
 Mark Olver,COL,32,6
 Eric Gryba,OTT,32,6
 Roman Polak,STL,47,6
 Ryan Ellis,NAS,32,6
 Ryan O'Byrne,TOR,42,6
 Nick Johnson,PHO,17,6
 Travis Moen,MON,44,6
 Dustin Jeffrey,PIT,24,6
 Mark Fayne,NJD,31,6
 Adam Cracknell,STL,19,6
 Douglas Murray,PIT,42,6
 Ville Leino,BUF,8,6
 John Erskine,WAS,29,6
 Greg Zanon,COL,42,6
 Dalton Prout,COB,27,6
 Jared Boll,COB,42,6
 Ryan Jones,EDM,25,6
 Jordan Nolan,LOS,43,6
 Bryan Allen,ANA,40,6
 John Moore,NYR,29,6
 Adam Larsson,NJD,36,6
 Johnny Boychuk,BOS,42,6
 Ryan Reaves,STL,42,6
 Bobby Sanguinetti,CAR,36,6
 Deryk Engelland,PIT,42,6
 Jordie Benn,DAL,25,6
 Tyler Johnson,TAM,14,6
 Andrew Ebbett,VAN,27,6
 Gustav Nyquist,DET,21,6
 Jim O'Brien,OTT,29,6
 Matt Hunwick,COL,42,6
 Bruno Gervais,PHI,37,6
 Brad Stuart,SAN,47,6
 Dale Weise,VAN,39,6
 Matt D'Agostini,NJD,29,6
 Wade Redden,BOS,27,6
 Toni Lydman,ANA,34,6
 Kurtis Foster,PHI,23,5
 Tim Erixon,COB,30,5
 Radko Gudas,TAM,22,5
 Joe Vitale,PIT,33,5
 Jason Zucker,MIN,19,5
 Brian Lashoff,DET,31,5
 Aaron Rome,DAL,26,5
 Jerred Smithson,EDM,43,5
 Mark Pysyk,BUF,18,5
 Brian Boyle,NYR,38,5
 Paul Gaustad,NAS,23,5
 Drayson Bowman,CAR,37,5
 Anton Volchenkov,NJD,36,5
 Braydon Coburn,PHI,33,5
 Peter Holland,ANA,21,5
 Chris Mueller,NAS,17,5
 David Ullstrom,NYI,20,5
 James Wright,WPG,38,5
 Philip Larsen,DAL,31,5
 Tyler Toffoli,LOS,9,5
 Peter Harrold,NJD,22,5
 Antti Miettinen,WPG,22,5
 Frazer McLaren,TOR,35,5
 Karl Alzner,WAS,47,5
 Kris Russell,STL,32,5
 Tye McGinn,PHI,18,5
 Mikhail Grigorenko,BUF,24,5
 Tim Jackman,CGY,42,5
 Alex Kovalev,FLA,14,5
 Marty Reasoner,NYI,31,5
 Jason Spezza,OTT,5,5
 Zac Rinaldo,PHI,32,5
 Colby Armstrong,MON,37,5
 Alec Martinez,LOS,27,5
 Mike Rupp,MIN,38,4
 Stephen Weiss,FLA,17,4
 Mark Stuart,WPG,42,4
 James Sheppard,SAN,31,4
 Adrian Aucoin,COB,35,4
 Erik Johnson,COL,30,4
 Adam Hall,PHI,37,4
 Zach Redmond,WPG,8,4
 Chad LaRose,CAR,34,4
 Radek Dvorak,ANA,8,4
 Brian Strait,NYI,18,4
 Adam Pardy,BUF,16,4
 Erik Gudbranson,FLA,32,4
 Brooks Laich,WAS,9,4
 Alexander Sulzer,BUF,17,4
 Shane O'Brien,COL,26,4
 J.T. Miller,NYR,26,4
 Paul Bissonnette,PHO,26,4
 Thomas Hickey,NYI,38,4
 Chris Thorburn,WPG,42,4
 Dana Tyrell,TAM,20,4
 Robert Bortuzzo,PIT,15,4
 Adam McQuaid,BOS,30,4
 Mark Fistric,EDM,23,4
 Jake Gardiner,TOR,12,4
 Nicklas Grossmann,PHI,30,4
 Ian White,DET,25,4
 Brad Richardson,LOS,15,4
 Ondrej Palat,TAM,14,4
 Eric Tangradi,WPG,41,4
 Robyn Regehr,LOS,40,4
 Kris Versteeg,FLA,10,4
 Colton Orr,TOR,43,4
 Henrik Tallinder,NJD,24,4
 David Schlemko,PHO,28,4
 Mike Santorelli,WPG,34,4
 Chris Bourque,BOS,18,4
 Scottie Upshall,FLA,26,4
 Tomas Kaberle,MON,10,3
 Brian McGrattan,CGY,20,3
 Jordan Caron,BOS,17,3
 Eric Belanger,EDM,24,3
 Jacob Josefson,NJD,21,3
 Chris Kreider,NYR,22,3
 Andrew Desjardins,SAN,41,3
 Stefan Matteau,NJD,17,3
 Aaron Gagnon,WPG,10,3
 Zac Dalpe,CAR,10,3
 Korbinian Holzer,TOR,22,3
 Patrick Bordeleau,COL,44,3
 Stefan Elliott,COL,16,3
 Jimmy Hayes,CHI,9,3
 Oliver Lauridsen,PHI,14,3
 Jeff Halpern,MON,46,3
 Jeff Schultz,WAS,26,3
 Ladislav Smid,EDM,46,3
 Tim Brent,CAR,29,3
 Tomas Vincour,COL,16,3
 Radek Martinek,NYI,13,3
 Pierre-Cedric Labrie,TAM,18,3
 Ryan Wilson,COL,12,3
 Steve Eminger,NYR,34,3
 Kyle Quincey,DET,35,3
 Dan Carcillo,CHI,22,3
 Mark Cundari,CGY,3,3
 Tyson Strachan,FLA,37,3
 Todd Bertuzzi,DET,7,3
 Gabriel Dumont,MON,10,3
 Kaspars Daugavins,BOS,23,3
 Matt Fraser,DAL,12,3
 Adam Burish,SAN,45,3
