 Eric Nystrom                 DAL 0
 Bobby Butler                 NAS 0
 Blake Comeau                 COB 0
 Nathan Gerbe                 BUF 0
 Ryan Garbutt                 DAL 0
 Brian Flynn                  BUF 0
 Ryan Smyth                   EDM 0
 Rob Klinkhammer              PHO 0
 Max Talbot                   PHI 0
 Sven Baertschi               CGY 0
 Dmitry Kulikov               FLA 0
 Alex Burmistrov              WPG 0
 Jan Hejda                    COL 0
 Jay Harrison                 CAR 0
 David Jones                  COL 0
 Richard Clune                NAS 0
 T.J. Brennan                 FLA 0
 Richard Panik                TAM 0
 Joni Pitkanen                CAR 0
 Nikita Nikitin               COB 0
 Filip Kuba                   FLA 0
 Riley Nash                   CAR 0
 Mike Weaver                  FLA 0
 Tim Gleason                  CAR 0
 Lennart Petrell              EDM 0
 Alexei Ponikarovsky          NJD 0
 Marc-Andre Bergeron          CAR 0
 Chuck Kobasew                COL 0
 Aaron Palushaj               COL 0
 Paul Postma                  WPG 0
 Kevin Porter                 BUF 0
 Reilly Smith                 DAL 0
 Steven Stamkos               TAM 0
 Dainius Zubrus               NJD 0
 Eric Staal                   CAR 0
 Claude Giroux                PHI 0
 Andrew Ladd                  WPG 0
 Brenden Dillon               DAL 0
 Taylor Hall                  EDM 0
 Jakub Voracek                PHI 0
 Alexander Semin              CAR 0
 Mike Knuble                  PHI 0
 P.A. Parenteau               COL 0
 Tyler Myers                  BUF 0
 Brandon Yip                  NAS 0
 Michael Stone                PHO 0
 Blake Wheeler                WPG 0
 Thomas Vanek                 BUF 0
 Matt Duchene                 COL 0
 Jiri Tlusty                  CAR 0
 Steve Begin                  CGY 0
 Patrik Elias                 NJD 0
 Sam Gagner                   EDM 0
 B.J. Crombeen                TAM 0
 Derek MacKenzie              COB 0
 Teddy Purcell                TAM 0
 Cody Hodgson                 BUF 0
 Evander Kane                 WPG 0
 Tuomo Ruutu                  CAR 0
 Rostislav Klesla             PHO 0
 Jamie Benn                   DAL 0
 Tomas Fleischmann            FLA 0
 Jordan Eberle                EDM 0
 Nick Schultz                 EDM 0
 Wayne Simmonds               PHI 0
 Michael Cammalleri           CGY 0
 Bryan Little                 WPG 0
 Ilya Kovalchuk               NJD 0
 Taylor Beck                  NAS 0
 Keith Aulie                  TAM 0
 Tyler Ennis                  BUF 0
 Mike Weber                   BUF 0
 Roman Horak                  CGY 0
 Victor Bartley               NAS 0
 Vincent Lecavalier           TAM 0
 Jamie McBain                 CAR 0
 Chris Butler                 CGY 0
 Erik Gustafsson              PHI 0
 Lee Stempniak                CGY 0
 Jordan Staal                 CAR 0
 Jonathon Blum                NAS 0
 Ryan Malone                  TAM 0
 Loui Eriksson                DAL 0
 Alex Chiasson                DAL 0
 Ray Whitney                  DAL 0
 Vinny Prospal                COB 0
 Kimmo Timonen                PHI 0
 Mark Olver                   COL 0
 Jonathan Huberdeau           FLA 0
 Dustin Byfuglien             WPG 0
 Ryan Ellis                   NAS 0
 Jiri Hudler                  CGY 0
 Nick Johnson                 PHO 0
 Mark Letestu                 COB 0
 Shea Weber                   NAS 0
 Mark Fayne                   NJD 0
 Alex Goligoski               DAL 0
 Brian Campbell               FLA 0
 Ville Leino                  BUF 0
 Tomas Kopecky                FLA 0
 Greg Zanon                   COL 0
 Dalton Prout                 COB 0
 Jared Boll                   COB 0
 Ryan Jones                   EDM 0
 Alex Tanguay                 CGY 0
 Marian Gaborik               COB 0
 Brayden Schenn               PHI 0
 Adam Larsson                 NJD 0
 Curtis Glencross             CGY 0
 Nail Yakupov                 EDM 0
 Bobby Sanguinetti            CAR 0
 Shane Doan                   PHO 0
 Jordie Benn                  DAL 0
 Tyler Johnson                TAM 0
 Mikkel Boedker               PHO 0
 Keith Yandle                 PHO 0
 David Legwand                NAS 0
 Matt Hunwick                 COL 0
 Bruno Gervais                PHI 0
 Jeff Skinner                 CAR 0
 Cody Eakin                   DAL 0
 Matt D'Agostini              NJD 0
 Ryan Nugent-Hopkins          EDM 0
 David Clarkson               NJD 0
 Kurtis Foster                PHI 0
 Tim Erixon                   COB 0
 Radko Gudas                  TAM 0
 Radim Vrbata                 PHO 0
 Steve Ott                    BUF 0
 Matt Read                    PHI 0
 Aaron Rome                   DAL 0
 Jerred Smithson              EDM 0
 Mark Pysyk                   BUF 0
 Paul Stastny                 COL 0
 Paul Gaustad                 NAS 0
 Drayson Bowman               CAR 0
 Anton Volchenkov             NJD 0
 Braydon Coburn               PHI 0
 Justin Schultz               EDM 0
 Chris Mueller                NAS 0
 Oliver Ekman-Larsson         PHO 0
 James Wright                 WPG 0
 Philip Larsen                DAL 0
 Matt Stajan                  CGY 0
 Peter Harrold                NJD 0
 Antti Miettinen              WPG 0
 Dennis Wideman               CGY 0
 Christian Ehrhoff            BUF 0
 Fedor Tyutin                 COB 0
 Tye McGinn                   PHI 0
 Mikhail Grigorenko           BUF 0
 Tim Jackman                  CGY 0
 Alex Kovalev                 FLA 0
 Jamie McGinn                 COL 0
 Shawn Matthias               FLA 0
 Zac Rinaldo                  PHI 0
 Martin Hanzal                PHO 0
 Mike Fisher                  NAS 0
