 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Rod Pelley,NJD,52,2,1,3,-3,16,80,25,125,129,0.492,0,0,0,0,0,44,0.045
 Ryan White,MON,20,0,3,3,-7,61,61,17,29,30,0.492,0,0,0,1,0,12,0
 Akim Aliu,CGY,2,2,1,3,3,12,6,0,0,0,N/A,0,0,0,0,0,3,0.667
 Scott Parse,LOS,9,2,0,2,1,14,7,4,1,2,0.333,1,0,0,0,0,9,0.222
 Cam Barker,VAN,25,2,0,2,0,23,36,19,0,0,N/A,1,0,0,0,1,35,0.057
 Kevin Westgarth,CAR,25,1,1,2,-3,39,31,6,0,1,0,0,0,0,0,0,13,0.077
 Brian McGrattan,CGY,30,0,2,2,-1,61,29,3,0,0,N/A,0,0,0,0,0,10,0
 Jeff Taffe,WAS,5,0,2,2,2,0,7,2,1,5,0.167,0,0,0,0,0,7,0
 Mike Lundin,OTT,17,0,2,2,-1,4,3,35,0,0,N/A,0,0,0,0,0,9,0
 Mike Commodore,MON,30,0,2,2,7,38,53,32,0,0,N/A,0,0,0,0,0,23,0
 Eric Tangradi,WPG,24,0,2,2,-4,16,42,7,0,2,0,0,0,0,0,0,20,0
 Tim Kennedy,PHO,27,1,1,2,-11,4,48,11,64,77,0.454,0,0,0,0,1,22,0.045
 Brett MacLean,PHO,5,0,2,2,1,2,3,1,0,0,N/A,0,1,0,0,0,6,0
 Tim Erixon,COB,18,0,2,2,-2,8,15,15,0,0,N/A,0,0,0,0,0,9,0
 Davis Drewiske,MON,9,2,0,2,0,2,5,5,0,0,N/A,0,0,0,0,0,11,0.182
 Maksim Mayorov,COB,10,1,1,2,-3,2,11,3,0,0,N/A,0,0,0,0,0,9,0.111
 David McIntyre,DET,7,1,1,2,-1,2,8,3,2,5,0.286,0,0,0,0,0,6,0.167
 Niclas Bergfors,NAS,11,1,1,2,-2,2,0,5,0,0,N/A,0,0,0,0,1,11,0.091
 Zach Hamill,VAN,16,0,2,2,3,4,13,4,15,16,0.484,0,0,0,0,0,13,0
 John Erskine,WAS,28,0,2,2,3,51,39,27,0,0,N/A,0,0,0,1,0,20,0
 Chris Tanev,VAN,25,0,2,2,10,2,10,43,0,0,N/A,0,0,0,0,0,15,0
 Jason Zucker,MIN,6,0,2,2,-2,2,5,2,0,0,N/A,0,0,0,0,0,10,0
 Ryan Russell,COB,41,2,0,2,-7,2,37,44,0,5,0,0,0,0,0,0,39,0.051
 Matt Kassian,OTT,24,2,0,2,-2,55,32,5,0,0,N/A,0,0,0,0,0,13,0.154
 Nate Guenin,COL,15,2,0,2,6,6,26,17,0,0,N/A,0,0,0,0,1,5,0.4
 Randy Jones,WPG,39,1,1,2,4,8,23,40,0,0,N/A,0,0,0,0,0,24,0.042
 Mike Mottau,FLA,35,0,2,2,-11,15,38,47,0,0,N/A,0,0,0,0,0,22,0
 Brandon Pirri,CHI,5,0,2,2,2,0,5,2,26,28,0.481,0,0,0,0,0,5,0
 Ben Smith,CHI,13,2,0,2,-5,0,6,5,7,7,0.5,0,0,0,0,0,18,0.111
 Peter Harrold,NJD,11,0,2,2,0,0,3,11,0,0,N/A,0,1,0,0,0,11,0
 Chad Rau,MIN,9,2,0,2,-1,0,2,5,35,30,0.538,0,0,0,0,2,7,0.286
 Tomas Kubalik,WPG,8,1,1,2,-3,6,6,5,0,0,N/A,0,0,0,0,0,8,0.125
 Brad Malone,COL,9,0,2,2,1,0,13,1,1,7,0.125,0,0,0,0,0,6,0
 Pierre-Cedric Labrie,TAM,14,0,2,2,-2,15,36,5,3,2,0.6,0,0,0,0,0,5,0
 Stephane Veilleux,MIN,22,0,2,2,-2,15,27,5,3,7,0.3,0,0,0,0,0,16,0
 Zach Boychuk,CAR,16,0,2,2,-3,0,16,2,2,2,0.5,0,0,0,0,0,10,0
 Mark Fistric,ANA,60,0,2,2,-3,41,235,105,1,0,1,0,0,0,0,0,30,0
 Mike Duco,VAN,6,0,2,2,1,5,17,2,0,0,N/A,0,0,0,0,0,4,0
 Josh Green,EDM,7,1,1,2,-6,7,4,2,16,21,0.432,1,0,0,0,0,14,0.071
 Jordie Benn,DAL,3,0,2,2,1,0,3,2,0,0,N/A,0,0,0,0,0,1,0
 Jason Williams,PIT,8,1,1,2,1,4,1,2,0,1,0,0,1,0,0,0,4,0.25
 Rob Klinkhammer,PHO,15,0,2,2,0,2,47,3,2,1,0.667,0,0,0,0,0,26,0
 Jed Ortmeyer,FLA,35,1,1,2,-8,14,53,14,4,5,0.444,0,0,0,0,1,41,0.024
 Brad Staubitz,ANA,62,1,0,1,-5,121,96,20,3,3,0.5,0,0,0,0,0,27,0.037
 Alex Plante,EDM,3,0,1,1,0,2,5,1,0,0,N/A,0,0,0,0,0,0,N/A
 Alexandre Giroux,COB,9,1,0,1,-2,8,11,0,1,0,1,0,0,0,0,0,18,0.056
 Chris VandeVelde,PHI,5,1,0,1,2,2,4,3,18,22,0.45,0,0,0,0,0,1,1
 Colten Teubert,EDM,24,0,1,1,-5,25,68,28,0,0,N/A,0,0,0,0,0,13,0
 Carl Sneep,DAL,1,0,1,1,1,0,2,1,0,0,N/A,0,0,0,0,0,0,N/A
 Mika Zibanejad,OTT,9,0,1,1,-3,2,15,5,22,28,0.44,0,1,0,0,0,12,0
 Cody Bass,COB,14,0,1,1,0,32,22,7,5,3,0.625,0,0,0,0,0,13,0
 Radek Martinek,NYI,7,1,0,1,-3,0,5,7,0,0,N/A,0,0,0,0,0,10,0.1
 Mike Angelidis,TAM,6,1,0,1,-1,5,6,2,4,3,0.571,0,0,0,0,0,8,0.125
 Jason Jaffray,WPG,13,0,1,1,-1,7,16,2,8,7,0.533,0,0,0,0,0,10,0
 Aaron Volpatti,WAS,23,1,0,1,-2,37,61,8,4,0,1,0,0,0,0,0,17,0.059
 Riley Nash,CAR,5,0,1,1,1,2,1,1,11,24,0.314,0,0,0,0,0,2,0
 Ryan Hamilton,EDM,2,0,1,1,-1,2,5,0,0,0,N/A,0,0,0,0,0,1,0
 Mark Scheifele,WPG,7,1,0,1,0,0,3,1,18,33,0.353,1,0,0,0,0,5,0.2
 Tom Sestito,VAN,14,0,1,1,-3,83,37,2,2,2,0.5,0,0,0,0,0,4,0
 Cam Janssen,NJD,48,0,1,1,-8,75,74,3,2,3,0.4,0,0,0,0,0,17,0
 Travis Turnbull,BUF,3,1,0,1,0,5,7,2,5,5,0.5,0,0,0,0,0,3,0.333
 Adam Cracknell,STL,2,1,0,1,1,0,1,3,0,1,0,0,0,0,0,0,1,1
 Cody Almond,MIN,10,1,0,1,-5,15,15,8,25,33,0.431,0,0,0,0,0,7,0.143
 Krys Kolanos,CGY,13,0,1,1,-1,2,13,0,17,13,0.567,0,0,0,0,0,29,0
 Torey Krug,BOS,2,0,1,1,0,0,0,4,0,0,N/A,0,0,0,0,0,3,0
 Colton Orr,TOR,5,1,0,1,1,5,7,0,0,1,0,0,0,0,0,0,3,0.333
 Paul Bissonnette,PHO,31,1,0,1,-4,41,70,1,0,1,0,0,0,0,0,1,15,0.067
 Bill Thomas,COL,7,1,0,1,0,0,10,1,0,3,0,0,0,0,0,0,9,0.111
 Jarod Palmer,MIN,6,1,0,1,-2,4,3,1,1,1,0.5,0,0,0,0,0,14,0.071
 T.J. Brennan,TOR,11,1,0,1,0,6,20,6,0,0,N/A,0,0,0,0,0,14,0.071
 J.T. Brown,TAM,5,0,1,1,2,0,2,3,0,0,N/A,0,0,0,0,0,13,0
 Nino Niederreiter,MIN,55,1,0,1,-29,12,129,14,0,2,0,0,0,0,0,0,74,0.014
 Mark Cullen,FLA,6,0,1,1,2,2,2,1,15,12,0.556,0,0,0,0,0,1,0
 Andre Deveaux,FLA,9,0,1,1,3,29,16,0,1,0,1,0,0,0,0,0,2,0
 Brad Mills,CHI,27,0,1,1,-10,32,36,3,77,49,0.611,0,0,0,0,0,18,0
 Ryan O'Marra,ANA,9,0,1,1,-1,4,19,7,36,29,0.554,0,0,0,0,0,7,0
 John Scott,BUF,35,0,1,1,-1,53,39,10,0,0,N/A,0,0,0,0,0,9,0
 Cade Fairchild,STL,5,0,1,1,-1,0,1,4,0,0,N/A,0,0,0,0,0,1,0
 Philippe Cornet,FLA,2,0,1,1,0,0,2,0,0,0,N/A,0,0,0,0,0,0,N/A
 Jody Shelley,PHI,30,0,1,1,-6,64,49,6,0,2,0,0,0,0,0,0,19,0
 Brian Strait,NYI,9,0,1,1,-2,4,12,12,0,0,N/A,0,0,0,0,0,4,0
 Carter Camper,BOS,3,1,0,1,1,0,1,2,6,8,0.429,0,0,0,0,0,1,1
 Fabian Brunnstrom,DET,5,0,1,1,-2,4,4,1,0,0,N/A,0,0,0,0,0,6,0
 Peter Holland,ANA,4,1,0,1,0,2,4,1,7,11,0.389,0,0,0,0,1,1,1
 Chay Genoway,WAS,1,0,1,1,0,0,0,1,0,0,N/A,0,0,0,0,0,1,0
 Doug Janik,DET,9,0,1,1,2,6,7,6,0,0,N/A,0,0,0,0,0,6,0
 Dylan Olsen,CHI,28,0,1,1,-5,6,43,23,0,0,N/A,0,0,0,0,0,16,0
 Patrick Eaves,DET,10,0,1,1,0,2,21,7,2,3,0.4,0,0,0,0,0,24,0
 Stephen Gionta,NJD,1,1,0,1,1,0,1,1,5,3,0.625,0,0,0,0,1,2,0.5
 Nikita Filatov,OTT,9,0,1,1,1,4,8,1,0,1,0,0,0,0,0,0,6,0
 Alexander Urbom,NJD,5,1,0,1,1,9,5,2,0,0,N/A,0,0,0,0,0,3,0.333
 Brandon Manning,PHI,4,0,0,0,1,0,6,2,0,0,N/A,0,0,0,0,0,6,0
 Ty Wishart,NYI,1,0,0,0,0,0,1,0,0,0,N/A,0,0,0,0,0,0,N/A
 Andre Petersson,OTT,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Jon Matsumoto,FLA,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,N/A
 Dalton Prout,COB,5,0,0,0,1,0,5,3,0,0,N/A,0,0,0,0,0,2,0
 Mattias Ekholm,NAS,2,0,0,0,-1,0,0,3,0,0,N/A,0,0,0,0,0,1,0
 Bracken Kearns,SAN,5,0,0,0,0,10,6,1,1,1,0.5,0,0,0,0,0,0,N/A
 Reilly Smith,BOS,3,0,0,0,-3,2,0,0,1,0,1,0,0,0,0,0,2,0
 Aaron Gagnon,WPG,7,0,0,0,-1,0,1,4,18,22,0.45,0,0,0,0,0,6,0
 Kristian Huselius,COB,2,0,0,0,-2,2,0,0,0,0,N/A,0,0,0,0,0,2,0
 Brenden Dillon,DAL,1,0,0,0,0,0,4,3,0,0,N/A,0,0,0,0,0,6,0
 Brandon Saad,CHI,2,0,0,0,0,0,0,1,0,0,N/A,0,0,0,0,0,3,0
 Jeremy Welsh,CAR,1,0,0,0,0,4,3,0,4,9,0.308,0,0,0,0,0,2,0
 Bobby Sanguinetti,CAR,3,0,0,0,0,0,1,2,0,0,N/A,0,0,0,0,0,5,0
 Chris Mueller,DAL,4,0,0,0,-1,0,1,2,15,12,0.556,0,0,0,0,0,4,0
 Eric Boulton,NYI,51,0,0,0,-12,115,89,10,1,2,0.333,0,0,0,0,0,25,0
 Victor Oreskovich,VAN,1,0,0,0,0,7,1,0,0,0,N/A,0,0,0,0,0,0,N/A
 Matt Fraser,BOS,1,0,0,0,0,0,0,1,0,0,N/A,0,0,0,0,0,1,0
 Lane MacDermid,DAL,5,0,0,0,-2,5,10,3,0,0,N/A,0,0,0,0,0,6,0
 Andy Miele,PHO,7,0,0,0,-3,6,11,0,7,21,0.25,0,0,0,0,0,4,0
 Sean Collins,NYR,2,0,0,0,-1,0,0,1,0,0,N/A,0,0,0,0,0,3,0
 Kris Foucault,MIN,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Mark Fraser,TOR,4,0,0,0,-2,14,6,3,0,0,N/A,0,0,0,0,0,0,N/A
 Rhett Rakhshani,NYI,5,0,0,0,0,2,1,1,0,0,N/A,0,0,0,0,0,3,0
 Bill Sweatt,VAN,2,0,0,0,0,0,1,2,0,0,N/A,0,0,0,0,0,2,0
 Clay Wilson,CGY,5,0,0,0,0,4,1,2,0,0,N/A,0,0,0,0,0,7,0
 Aaron Ness,NYI,9,0,0,0,0,2,2,17,0,0,N/A,0,0,0,0,0,6,0
 Mark Borowiecki,OTT,2,0,0,0,-1,2,4,0,0,0,N/A,0,0,0,0,0,1,0
 Tim Sestito,NJD,18,0,0,0,-5,7,28,5,31,44,0.413,0,0,0,0,0,6,0
 Joe Piskula,NAS,5,0,0,0,-5,2,6,5,0,0,N/A,0,0,0,0,0,2,0
 Kris Fredheim,MIN,3,0,0,0,-2,2,1,5,0,0,N/A,0,0,0,0,0,0,N/A
 Tyson Barrie,COL,10,0,0,0,-2,0,9,10,0,0,N/A,0,0,0,0,0,15,0
 Mark Bell,ANA,5,0,0,0,0,5,7,0,12,10,0.545,0,0,0,0,0,0,N/A
 Kris Newbury,PHI,7,0,0,0,-1,24,14,1,6,11,0.353,0,0,0,0,0,2,0
 Matt Donovan,NYI,3,0,0,0,-3,0,3,4,0,0,N/A,0,0,0,0,0,6,0
 Mike Connolly,COL,2,0,0,0,0,2,2,1,0,0,N/A,0,0,0,0,0,1,0
 Andrew Joudrey,COB,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
 Brett Sterling,STL,4,0,0,0,-1,0,1,0,3,1,0.75,0,0,0,0,0,5,0
 Frazer McLaren,TOR,7,0,0,0,0,9,6,2,0,0,N/A,0,0,0,0,0,2,0
 Greg Rallo,FLA,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,1,0
 Pierre-Luc Letourneau-Leblond,PIT,3,0,0,0,1,10,2,0,0,0,N/A,0,0,0,0,0,3,0
 Trent Whitfield,BOS,1,0,0,0,0,0,2,3,0,0,N/A,0,0,0,0,0,1,0
 Guillaume Desbiens,COL,10,0,0,0,-1,25,16,2,1,1,0.5,0,0,0,0,0,2,0
 Francis Wathier,DAL,1,0,0,0,0,0,3,0,0,0,N/A,0,0,0,0,0,0,N/A
 Scott Glennie,DAL,1,0,0,0,0,2,2,0,0,0,N/A,0,0,0,0,0,0,N/A
 Zack Stortini,ANA,1,0,0,0,0,7,1,0,0,0,N/A,0,0,0,0,0,1,0
 Steve MacIntyre,PIT,12,0,0,0,0,6,5,0,0,0,N/A,0,0,0,0,0,0,N/A
 D.J. King,WAS,1,0,0,0,0,0,2,0,0,0,N/A,0,0,0,0,0,1,0
 Vladimir Zharkov,NJD,4,0,0,0,-2,0,1,0,0,0,N/A,0,0,0,0,0,0,N/A
 Arturs Kulda,WPG,9,0,0,0,3,4,13,8,0,0,N/A,0,0,0,0,0,8,0
 Calvin de Haan,NYI,1,0,0,0,1,0,2,0,0,0,N/A,0,0,0,0,0,2,0
 Colin McDonald,NYI,5,0,0,0,0,0,8,0,0,0,N/A,0,0,0,0,0,6,0
 Jay Rosehill,PHI,31,0,0,0,-4,60,53,5,1,3,0.25,0,0,0,0,0,15,0
 Carter Ashton,TOR,15,0,0,0,-10,13,32,2,1,1,0.5,0,0,0,0,0,22,0
 Steve Zalewski,NJD,7,0,0,0,-2,0,11,1,22,22,0.5,0,0,0,0,0,6,0
 Joel Rechlicz,WAS,3,0,0,0,0,10,2,0,0,0,N/A,0,0,0,0,0,0,N/A
 Bryan Rodney,NAS,1,0,0,0,-1,0,1,0,0,0,N/A,0,0,0,0,0,0,N/A
 Jean-Francois Jacques,TAM,6,0,0,0,2,12,6,0,0,0,N/A,0,0,0,0,0,7,0
 Milan Kytnar,EDM,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 John McCarthy,SAN,10,0,0,0,-2,10,10,1,18,25,0.419,0,0,0,0,0,14,0
 Micheal Haley,NYR,14,0,0,0,-1,57,31,2,1,1,0.5,0,0,0,0,0,13,0
 Kevin Marshall,TOR,10,0,0,0,-1,8,8,4,0,0,N/A,0,0,0,0,0,6,0
 Taylor Chorney,STL,5,0,0,0,-1,0,0,4,0,0,N/A,0,0,0,0,0,2,0
 Colin Stuart,VAN,2,0,0,0,-3,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Raitis Ivanans,CGY,1,0,0,0,-1,0,3,1,0,0,N/A,0,0,0,0,0,0,N/A
 Tomas Kundratek,WAS,5,0,0,0,0,2,3,4,0,0,N/A,0,0,0,0,0,2,0
 Trevor Gillies,NYI,3,0,0,0,-1,0,2,0,0,0,N/A,0,0,0,0,0,1,0
 Alexandre Bolduc,STL,2,0,0,0,-1,2,1,0,1,0,1,0,0,0,0,0,1,0
 Rostislav Olesz,NJD,6,0,0,0,-1,6,7,1,0,2,0,0,0,0,0,0,6,0
 Paul Postma,WPG,3,0,0,0,0,0,1,1,0,0,N/A,0,0,0,0,0,3,0
 Philippe Dupuis,PIT,30,0,0,0,-2,16,37,16,29,29,0.5,0,0,0,0,0,30,0
 Evan Oberg,STL,3,0,0,0,2,0,3,0,0,0,N/A,0,0,0,0,0,3,0
 Tyler Cuma,MIN,1,0,0,0,0,2,2,1,0,0,N/A,0,0,0,0,0,0,N/A
 Greg Nemisz,CGY,9,0,0,0,1,0,3,1,19,29,0.396,0,0,0,0,0,2,0
 Derek Meech,WPG,2,0,0,0,1,4,1,0,0,0,N/A,0,0,0,0,0,2,0
 Nolan Yonkman,ANA,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Andreas Engqvist,MON,12,0,0,0,-1,4,9,5,24,36,0.4,0,0,0,0,0,3,0
 Matt Bartkowski,BOS,3,0,0,0,-2,0,5,2,0,0,N/A,0,0,0,0,0,0,N/A
 Cody Goloubef,COB,1,0,0,0,1,0,1,0,0,0,N/A,0,0,0,0,0,0,N/A
 Gabriel Dumont,MON,3,0,0,0,-1,0,7,1,3,15,0.167,0,0,0,0,0,1,0
 Mark Mancari,STL,6,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,5,0
 Joakim Andersson,DET,5,0,0,0,1,0,5,1,5,1,0.833,0,0,0,0,0,3,0
 Matt Walker,PHI,4,0,0,0,-2,16,1,5,0,0,N/A,0,0,0,0,0,2,0
 Brandon Bollig,CHI,18,0,0,0,-2,58,27,6,0,0,N/A,0,0,0,0,0,16,0
 Dane Byers,WAS,8,0,0,0,0,29,4,4,0,0,N/A,0,0,0,0,0,8,0
 Carl Klingberg,WPG,6,0,0,0,-1,4,1,0,0,0,N/A,0,0,0,0,0,7,0
 Teemu Laakso,NAS,9,0,0,0,-1,8,7,7,0,0,N/A,0,0,0,0,0,4,0
 Brandon Segal,WAS,10,0,0,0,-2,4,12,5,1,3,0.25,0,0,0,0,0,8,0
 Evan Brophey,COL,3,0,0,0,0,0,4,0,3,2,0.6,0,0,0,0,0,0,N/A
 Brett Carson,CGY,2,0,0,0,-2,0,0,1,0,0,N/A,0,0,0,0,0,1,0
 Brendan Bell,NYR,1,0,0,0,-1,0,0,0,0,0,N/A,0,0,0,0,0,2,0
 Jeremy Morin,CHI,3,0,0,0,-1,0,4,0,0,0,N/A,0,0,0,0,0,2,0
 Mattias Ritola,TAM,5,0,0,0,-2,6,4,1,2,1,0.667,0,0,0,0,0,14,0
 Ryan Thang,NAS,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Brett Festerling,WPG,5,0,0,0,-1,2,7,3,0,0,N/A,0,0,0,0,0,2,0
 Josh Hennessy,BOS,3,0,0,0,1,2,2,0,8,5,0.615,0,0,0,0,0,2,0
 Robert Bortuzzo,PIT,6,0,0,0,1,2,9,1,0,0,N/A,0,0,0,0,0,3,0
 Matt Watkins,WAS,1,0,0,0,-1,0,1,0,0,5,0,0,0,0,0,0,0,N/A
 Kenndal McArdle,WPG,9,0,0,0,-3,4,10,4,0,0,N/A,0,0,0,0,0,3,0
 Pat Maroon,ANA,2,0,0,0,0,2,4,1,0,0,N/A,0,0,0,0,0,1,0
 Jon DiSalvatore,MIN,1,0,0,0,0,2,1,0,0,0,N/A,0,0,0,0,0,2,0
 Derek Whitmore,WAS,2,0,0,0,0,0,3,1,0,0,N/A,0,0,0,0,0,2,0
 Patrice Cormier,WPG,9,0,0,0,1,0,12,0,22,8,0.733,0,0,0,0,0,8,0
 Joe Finley,NYI,5,0,0,0,-3,12,3,0,0,0,N/A,0,0,0,0,0,1,0
 Kyle Wilson,ANA,5,0,0,0,-1,0,7,1,0,1,0,0,0,0,0,0,2,0
 Ben Holmstrom,PHI,5,0,0,0,0,2,8,4,15,15,0.5,0,0,0,0,0,3,0
 Mike Hoffman,OTT,1,0,0,0,-1,0,2,0,0,0,N/A,0,0,0,0,0,0,N/A
 Max Sauve,ANA,1,0,0,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,N/A
 Mat Clark,ANA,2,0,0,0,-2,0,2,2,0,0,N/A,0,0,0,0,0,2,0
 Colby Robak,FLA,3,0,0,0,1,0,1,2,0,0,N/A,0,0,0,0,0,1,0
 Riley Sheahan,DET,1,0,0,0,0,4,1,1,0,0,N/A,0,0,0,0,0,3,0
