 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Jay Harrison,CAR,72,9,14,23,-10,60,117,153,0,0,N/A,2,3,0,0,2,128,0.07
 Sean Bergenheim,FLA,62,17,6,23,-5,48,109,21,3,8,0.273,5,0,1,0,2,185,0.092
 Victor Hedman,TAM,61,5,18,23,-9,65,96,127,0,0,N/A,0,4,0,1,0,82,0.061
 Jared Spurgeon,MIN,70,3,20,23,-4,6,36,95,0,0,N/A,2,10,0,0,1,92,0.033
 Andrew Shaw,CHI,37,12,11,23,-1,50,82,21,41,47,0.466,0,4,0,0,2,74,0.162
 Tyler Myers,BUF,55,8,15,23,5,33,78,70,0,0,N/A,3,4,0,0,1,84,0.095
 Brad Boyes,FLA,65,8,15,23,2,6,29,24,126,141,0.472,2,6,0,0,0,100,0.08
 Daniel Winnik,ANA,84,8,15,23,-11,52,95,50,33,33,0.5,0,0,1,1,1,184,0.043
 Niklas Hagman,ANA,71,9,14,23,-7,14,49,29,8,12,0.4,2,0,0,0,2,125,0.072
 Luke Schenn,PHI,79,2,20,22,-6,62,270,115,0,0,N/A,0,1,0,1,0,81,0.025
 Stephane Robidas,DAL,75,5,17,22,-5,48,191,110,0,0,N/A,2,7,0,0,1,75,0.067
 Francois Beauchemin,ANA,82,8,14,22,-14,48,154,194,1,1,0.5,3,2,0,1,1,139,0.058
 Marek Zidlicky,NJD,63,2,20,22,-6,34,62,58,0,0,N/A,2,6,0,0,1,70,0.029
 Justin Abdelkader,DET,81,8,14,22,4,62,148,42,239,213,0.529,0,0,0,0,1,121,0.066
 Justin Faulk,CAR,66,8,14,22,-16,29,113,85,0,0,N/A,5,7,0,0,2,101,0.079
 Andy McDonald,STL,25,10,12,22,4,2,3,5,66,50,0.569,3,3,0,0,2,64,0.156
 Tom Gilbert,FLA,67,3,19,22,-8,20,65,115,0,0,N/A,2,4,0,0,1,72,0.042
 Nick Spaling,NAS,77,10,12,22,-7,18,43,38,448,446,0.501,0,0,0,1,3,107,0.093
 Pierre-Marc Bouchard,NYI,37,9,13,22,-1,18,3,9,4,12,0.25,2,5,0,0,3,84,0.107
 Sheldon Souray,ANA,64,6,15,21,11,73,55,90,0,0,N/A,2,4,1,0,1,179,0.034
 Ryan Wilson,COL,59,1,20,21,11,33,97,70,0,1,0,0,4,0,0,0,63,0.016
 Vernon Fiddler,DAL,82,8,13,21,-13,60,82,67,534,515,0.509,0,0,0,1,1,123,0.065
